# epochs,loss,accuracy,val_loss,val_accuracy
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.316313918378356540e-01,8.340669870376586914e-01,5.682329800266756603e-01,8.417331576347351074e-01
2.000000000000000000e+00,5.200807856109560534e-01,8.477186560630798340e-01,4.877361627121595822e-01,8.455711603164672852e-01
3.000000000000000000e+00,4.600890420447049101e-01,8.726401925086975098e-01,4.409511178020547595e-01,8.973167538642883301e-01
4.000000000000000000e+00,4.195131080633389131e-01,9.021824002265930176e-01,4.085231051107321987e-01,9.043867588043212891e-01
5.000000000000000000e+00,3.867800120352177795e-01,9.104896187782287598e-01,3.780546511120175257e-01,9.143520593643188477e-01
6.000000000000000000e+00,3.624678916266161899e-01,9.143864512443542480e-01,3.538193507512257807e-01,9.133084416389465332e-01
7.000000000000000000e+00,3.434679902684338870e-01,9.170208573341369629e-01,3.242124401099897857e-01,9.220280647277832031e-01
8.000000000000000000e+00,3.265268980112788766e-01,9.204463958740234375e-01,3.164950400627016824e-01,9.234757423400878906e-01
9.000000000000000000e+00,3.128977460783267106e-01,9.226431250572204590e-01,3.351587673813928303e-01,9.169444441795349121e-01
1.000000000000000000e+01,3.008541242090226331e-01,9.252607226371765137e-01,3.046853846978190838e-01,9.194020628929138184e-01
1.100000000000000000e+01,2.915730212582449687e-01,9.269776940345764160e-01,2.993880182096292919e-01,9.191327691078186035e-01
1.200000000000000000e+01,2.827442700980294932e-01,9.285684227943420410e-01,3.021944948565424838e-01,9.251927137374877930e-01
1.300000000000000000e+01,2.762773419907336159e-01,9.298477172851562500e-01,2.732304571469785226e-01,9.280880689620971680e-01
1.400000000000000000e+01,2.686904669624447517e-01,9.310933947563171387e-01,2.714461801658353823e-01,9.261690974235534668e-01
1.500000000000000000e+01,2.628219512915758171e-01,9.317582845687866211e-01,2.467123786205033809e-01,9.381543993949890137e-01
1.600000000000000000e+01,2.573596564535600706e-01,9.335258007049560547e-01,2.603492202069250805e-01,9.226340651512145996e-01
