# epochs,loss,accuracy,val_loss,val_accuracy
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.691297452441350213e-01,7.933643460273742676e-01,5.668652042035674521e-01,8.454365134239196777e-01
2.000000000000000000e+00,5.289997107661789100e-01,8.459343910217285156e-01,4.974963622777802130e-01,8.466148376464843750e-01
3.000000000000000000e+00,4.672968626191902342e-01,8.707380294799804688e-01,4.793709399705943786e-01,8.724371194839477539e-01
4.000000000000000000e+00,4.230013019071108271e-01,9.038236737251281738e-01,4.239198205623788129e-01,9.023667573928833008e-01
5.000000000000000000e+00,3.905713118482771473e-01,9.102370738983154297e-01,3.721976351409682082e-01,9.178534150123596191e-01
6.000000000000000000e+00,3.635287121563253732e-01,9.137804508209228516e-01,3.666324201047338471e-01,9.033430814743041992e-01
7.000000000000000000e+00,3.399319979627642430e-01,9.173406958580017090e-01,3.087821257079092496e-01,9.254620671272277832e-01
8.000000000000000000e+00,3.235904217948035733e-01,9.196889400482177734e-01,3.220089895905531296e-01,9.180890917778015137e-01
9.000000000000000000e+00,3.103817029275566797e-01,9.215489625930786133e-01,3.027980954791425483e-01,9.250580668449401855e-01
1.000000000000000000e+01,2.989809537312557719e-01,9.239056110382080078e-01,3.044281054250648766e-01,9.247887134552001953e-01
1.100000000000000000e+01,2.896467131349377278e-01,9.258414506912231445e-01,2.949581459278499129e-01,9.213210940361022949e-01
1.200000000000000000e+01,2.817404011375547190e-01,9.271292090415954590e-01,2.636929362028033741e-01,9.287277460098266602e-01
1.300000000000000000e+01,2.740663907177919856e-01,9.284085035324096680e-01,2.504589666640947287e-01,9.375147223472595215e-01
1.400000000000000000e+01,2.658984047153835073e-01,9.298897981643676758e-01,2.591820362661477195e-01,9.315557479858398438e-01
1.500000000000000000e+01,2.590766022409491387e-01,9.310092329978942871e-01,2.332931101739565138e-01,9.429013729095458984e-01
1.600000000000000000e+01,2.540124494451949655e-01,9.319013953208923340e-01,2.839324821200719384e-01,9.298050999641418457e-01
1.700000000000000000e+01,2.485842318674435225e-01,9.323895573616027832e-01,2.947401098350890813e-01,9.144530892372131348e-01
1.800000000000000000e+01,2.425963889196713630e-01,9.349229335784912109e-01,2.337465621221227197e-01,9.317577481269836426e-01
1.900000000000000000e+01,2.386630725808121245e-01,9.345946907997131348e-01,2.146849384387085335e-01,9.424636960029602051e-01
2.000000000000000000e+01,2.336582114059926607e-01,9.361181259155273438e-01,2.172003650337791802e-01,9.427667260169982910e-01
2.100000000000000000e+01,2.290619133196782342e-01,9.367240667343139648e-01,3.147164920259476473e-01,9.026697874069213867e-01
2.200000000000000000e+01,2.258598616300830086e-01,9.371449351310729980e-01,2.209697455424626533e-01,9.357640743255615234e-01
2.300000000000000000e+01,2.209590368119149772e-01,9.381970167160034180e-01,2.072774590243676163e-01,9.424300789833068848e-01
2.400000000000000000e+01,2.166556690631052107e-01,9.388114213943481445e-01,2.084996149024670176e-01,9.399050474166870117e-01
2.500000000000000000e+01,2.134533490123923516e-01,9.398129582405090332e-01,1.983792887650001613e-01,9.466720819473266602e-01
2.600000000000000000e+01,2.104428096824734196e-01,9.400739073753356934e-01,2.176071563821201926e-01,9.336094260215759277e-01
2.700000000000000000e+01,2.067690672792167061e-01,9.410165548324584961e-01,1.905041100178945512e-01,9.445847272872924805e-01
2.800000000000000000e+01,2.045281016201075108e-01,9.418245553970336914e-01,1.944632198870637485e-01,9.458640813827514648e-01
2.900000000000000000e+01,1.997771195093909768e-01,9.457719326019287109e-01,1.819823425040800469e-01,9.503753781318664551e-01
3.000000000000000000e+01,1.975107596722789627e-01,9.496519565582275391e-01,1.876293503203781410e-01,9.531024098396301270e-01
3.100000000000000000e+01,1.948698753161181851e-01,9.527240395545959473e-01,1.835512723579947048e-01,9.554590582847595215e-01
3.200000000000000000e+01,1.909451799120475135e-01,9.542810916900634766e-01,1.809851260284452423e-01,9.608457088470458984e-01
3.300000000000000000e+01,1.889299560539647038e-01,9.547019004821777344e-01,1.989996509398058999e-01,9.557620286941528320e-01
3.400000000000000000e+01,1.858796325624784140e-01,9.558213353157043457e-01,1.967146692909351735e-01,9.548193812370300293e-01
3.500000000000000000e+01,1.833488566859474700e-01,9.564020633697509766e-01,1.666003179965354630e-01,9.640440344810485840e-01
3.600000000000000000e+01,1.802233515352410220e-01,9.568734169006347656e-01,1.756495616517867453e-01,9.590613842010498047e-01
3.700000000000000000e+01,1.787361274165353009e-01,9.576982259750366211e-01,1.724153167455239610e-01,9.577820301055908203e-01
3.800000000000000000e+01,1.743823759472319102e-01,9.585483074188232422e-01,1.899315937370261442e-01,9.512170553207397461e-01
3.900000000000000000e+01,1.720663403974567185e-01,9.587587118148803711e-01,1.758991763017291876e-01,9.540113806724548340e-01
4.000000000000000000e+01,1.698012946337421614e-01,9.592384696006774902e-01,1.591421682286628947e-01,9.638420343399047852e-01
4.100000000000000000e+01,1.674921284080325146e-01,9.600127935409545898e-01,1.608985096484094601e-01,9.603743553161621094e-01
4.200000000000000000e+01,1.656890610625990357e-01,9.602905511856079102e-01,1.588655711761723932e-01,9.623606801033020020e-01
4.300000000000000000e+01,1.635975059299845102e-01,9.606019258499145508e-01,1.475915348443427866e-01,9.657946825027465820e-01
4.400000000000000000e+01,1.604426778416425947e-01,9.611406326293945312e-01,1.477163682372532871e-01,9.653233885765075684e-01
4.500000000000000000e+01,1.596383646182108207e-01,9.613426327705383301e-01,1.544694320770585161e-01,9.616873860359191895e-01
4.600000000000000000e+01,1.567340419608811708e-01,9.622936844825744629e-01,1.450144255293827067e-01,9.661650061607360840e-01
4.700000000000000000e+01,1.559560946725690733e-01,9.620664119720458984e-01,1.546882091131659143e-01,9.618220329284667969e-01
4.800000000000000000e+01,1.542942736830836548e-01,9.624704122543334961e-01,1.529615378615005461e-01,9.627310633659362793e-01
4.900000000000000000e+01,1.529030471020662307e-01,9.632195234298706055e-01,1.466983581861133201e-01,9.635053873062133789e-01
5.000000000000000000e+01,1.502233353411517314e-01,9.634720087051391602e-01,1.402078204791810667e-01,9.662660360336303711e-01
5.100000000000000000e+01,1.509988327860309343e-01,9.635056853294372559e-01,1.427251328133663510e-01,9.668720364570617676e-01
5.200000000000000000e+01,1.486778816159848027e-01,9.638507366180419922e-01,1.400191193705567771e-01,9.665017127990722656e-01
5.300000000000000000e+01,1.480835320804311517e-01,9.643894433975219727e-01,1.404048393515941739e-01,9.665690064430236816e-01
5.400000000000000000e+01,1.460301120971684852e-01,9.648102521896362305e-01,1.419122662475882646e-01,9.632360339164733887e-01
5.500000000000000000e+01,1.446005797750731237e-01,9.652058482170104980e-01,1.400199141591035867e-01,9.677137136459350586e-01
5.600000000000000000e+01,1.436957097397270622e-01,9.655088186264038086e-01,1.439472352292920365e-01,9.641113877296447754e-01
5.700000000000000000e+01,1.422845328556892608e-01,9.657024145126342773e-01,1.433426227429473176e-01,9.654917120933532715e-01
5.800000000000000000e+01,1.419820152247880107e-01,9.661064147949218750e-01,1.514076519183972791e-01,9.628993868827819824e-01
5.900000000000000000e+01,1.413750994377095394e-01,9.660895466804504395e-01,1.296904623913302523e-01,9.688920378684997559e-01
6.000000000000000000e+01,1.401683353879991933e-01,9.660811424255371094e-01,1.366522416024191222e-01,9.688583612442016602e-01
6.100000000000000000e+01,1.398363237781793944e-01,9.663925766944885254e-01,1.398089521050360773e-01,9.678146839141845703e-01
6.200000000000000000e+01,1.380139679088144555e-01,9.670658707618713379e-01,1.323058836788427728e-01,9.691950082778930664e-01
6.300000000000000000e+01,1.382292035021812915e-01,9.663589000701904297e-01,1.468903592046180429e-01,9.614853858947753906e-01
6.400000000000000000e+01,1.363464937799351850e-01,9.670743346214294434e-01,1.464316703952815990e-01,9.618220329284667969e-01
6.500000000000000000e+01,1.355609327960300980e-01,9.673015475273132324e-01,1.269244370319279613e-01,9.688583612442016602e-01
6.600000000000000000e+01,1.352249731529434618e-01,9.674109816551208496e-01,1.266541361597572912e-01,9.719220399856567383e-01
6.700000000000000000e+01,1.344570552647938178e-01,9.674867391586303711e-01,1.356476588298300145e-01,9.696663618087768555e-01
6.800000000000000000e+01,1.337747816845010762e-01,9.678822755813598633e-01,1.722820689996713561e-01,9.519913792610168457e-01
6.900000000000000000e+01,1.337043096844028334e-01,9.678149819374084473e-01,1.275143775860315964e-01,9.701377153396606445e-01
7.000000000000000000e+01,1.315537092266816921e-01,9.682778716087341309e-01,1.358552658041520811e-01,9.623943567276000977e-01
7.100000000000000000e+01,1.328295426890628295e-01,9.679159522056579590e-01,1.295709847559616823e-01,9.679493904113769531e-01
7.200000000000000000e+01,1.308357887047864321e-01,9.688249826431274414e-01,1.272739790081757194e-01,9.675117135047912598e-01
7.300000000000000000e+01,1.295733906737976393e-01,9.690185189247131348e-01,1.276708814830558036e-01,9.679830074310302734e-01
7.400000000000000000e+01,1.316197991216139507e-01,9.682610630989074707e-01,1.601835421317846508e-01,9.571087360382080078e-01
7.500000000000000000e+01,1.291555320785751082e-01,9.690942764282226562e-01,1.218957420852031098e-01,9.736726880073547363e-01
7.600000000000000000e+01,1.277376855679546452e-01,9.697844386100769043e-01,1.164497479036878252e-01,9.732013344764709473e-01
7.700000000000000000e+01,1.289589325859966384e-01,9.692037105560302734e-01,1.284332609921769175e-01,9.670740365982055664e-01
7.800000000000000000e+01,1.274835954770189572e-01,9.693215489387512207e-01,1.411287322912826991e-01,9.610813856124877930e-01
7.900000000000000000e+01,1.273503352095536612e-01,9.692289829254150391e-01,1.242370790625824117e-01,9.715853333473205566e-01
8.000000000000000000e+01,1.273019596673827525e-01,9.698433876037597656e-01,1.446405087402925504e-01,9.654243588447570801e-01
8.100000000000000000e+01,1.262232175745165164e-01,9.697171449661254883e-01,1.199890936172093164e-01,9.729993343353271484e-01
8.200000000000000000e+01,1.249649871198128120e-01,9.706092476844787598e-01,1.336338743574991828e-01,9.674106836318969727e-01
8.300000000000000000e+01,1.246624547978864156e-01,9.703736305236816406e-01,1.160525936871391744e-01,9.728983640670776367e-01
8.400000000000000000e+01,1.240093672239322847e-01,9.706681966781616211e-01,1.299958884959595551e-01,9.666363596916198730e-01
8.500000000000000000e+01,1.240577417404435528e-01,9.703483581542968750e-01,1.224353173451985799e-01,9.732013344764709473e-01
8.600000000000000000e+01,1.228040135744027095e-01,9.715855717658996582e-01,1.251965913010683884e-01,9.686900377273559570e-01
8.700000000000000000e+01,1.223199166197046217e-01,9.709711670875549316e-01,1.279211005640770171e-01,9.667037129402160645e-01
8.800000000000000000e+01,1.239009181075217264e-01,9.704661965370178223e-01,1.133436894438280690e-01,9.728310108184814453e-01
8.900000000000000000e+01,1.214961081223512596e-01,9.710469245910644531e-01,1.186890479614819832e-01,9.726963639259338379e-01
9.000000000000000000e+01,1.213898428022923137e-01,9.710385203361511230e-01,1.083061791032345067e-01,9.773086905479431152e-01
9.100000000000000000e+01,1.213365504972395703e-01,9.711479544639587402e-01,1.336592928748271125e-01,9.657273888587951660e-01
9.200000000000000000e+01,1.198396684385982097e-01,9.711310863494873047e-01,1.191556599520795789e-01,9.704743623733520508e-01
9.300000000000000000e+01,1.195251003927894212e-01,9.715687632560729980e-01,1.150491525554915434e-01,9.729993343353271484e-01
9.400000000000000000e+01,1.209345095730432473e-01,9.710301160812377930e-01,1.259274148368983437e-01,9.667373895645141602e-01
9.500000000000000000e+01,1.192903484127530167e-01,9.719054102897644043e-01,1.164628610727791308e-01,9.726626873016357422e-01
9.600000000000000000e+01,1.202360138166772840e-01,9.710385203361511230e-01,1.137571731612447012e-01,9.764333367347717285e-01
9.700000000000000000e+01,1.185231892758711325e-01,9.720401167869567871e-01,1.088107570112719774e-01,9.765343666076660156e-01
9.800000000000000000e+01,1.176658651264048533e-01,9.719138741493225098e-01,1.133046875423200373e-01,9.729657173156738281e-01
9.900000000000000000e+01,1.171740402274398934e-01,9.719054102897644043e-01,1.023033842651610431e-01,9.763997197151184082e-01
1.000000000000000000e+02,1.164288443746795826e-01,9.727723598480224609e-01,1.117431146133755909e-01,9.749857187271118164e-01
1.010000000000000000e+02,1.167884568151792285e-01,9.724272489547729492e-01,1.205299296537527404e-01,9.722250103950500488e-01
1.020000000000000000e+02,1.163396480422332069e-01,9.715855717658996582e-01,1.086149242936519377e-01,9.763323664665222168e-01
1.030000000000000000e+02,1.153926672683199678e-01,9.727134108543395996e-01,1.063784098247825549e-01,9.751877188682556152e-01
1.040000000000000000e+02,1.151837670562420035e-01,9.730332493782043457e-01,1.197011938519717961e-01,9.712486863136291504e-01
1.050000000000000000e+02,1.155811054848490255e-01,9.727554917335510254e-01,1.122348990538555857e-01,9.738410115242004395e-01
1.060000000000000000e+02,1.146375721952501425e-01,9.728733301162719727e-01,1.059576234946524864e-01,9.756590127944946289e-01
1.070000000000000000e+02,1.136782072616431827e-01,9.730164408683776855e-01,1.090025112145264763e-01,9.746153354644775391e-01
1.080000000000000000e+02,1.144530479397522504e-01,9.730416536331176758e-01,1.272211655572047240e-01,9.700366854667663574e-01
1.090000000000000000e+02,1.146545378242032065e-01,9.728986024856567383e-01,1.111898246503654208e-01,9.756926894187927246e-01
1.100000000000000000e+02,1.135551483551489327e-01,9.727638959884643555e-01,1.052435510629578658e-01,9.760293364524841309e-01
1.110000000000000000e+02,1.119055603273520078e-01,9.737907648086547852e-01,1.284416141672310718e-01,9.650203585624694824e-01
1.120000000000000000e+02,1.124323110208475252e-01,9.734119772911071777e-01,1.043687657773970240e-01,9.764670133590698242e-01
1.130000000000000000e+02,1.109115610789983969e-01,9.741021394729614258e-01,1.279756984423325583e-01,9.670403599739074707e-01
1.140000000000000000e+02,1.138933808719273105e-01,9.724693298339843750e-01,1.030223301434970012e-01,9.748846888542175293e-01
1.150000000000000000e+02,1.115340995255100776e-01,9.736139774322509766e-01,1.245740357384703262e-01,9.676126837730407715e-01
1.160000000000000000e+02,1.116593606565546293e-01,9.735971689224243164e-01,1.325906619666126496e-01,9.633033871650695801e-01
1.170000000000000000e+02,1.111872263074831224e-01,9.738749265670776367e-01,1.053089121404829631e-01,9.749857187271118164e-01
1.180000000000000000e+02,1.112136105358215304e-01,9.737570881843566895e-01,1.258145517192747476e-01,9.690266847610473633e-01
1.190000000000000000e+02,1.116063469719121432e-01,9.737570881843566895e-01,9.939207395800998823e-02,9.773423671722412109e-01
1.200000000000000000e+02,1.109518109935641594e-01,9.732773303985595703e-01,1.644861422716443478e-01,9.571423530578613281e-01
1.210000000000000000e+02,1.114764403719781527e-01,9.734288454055786133e-01,1.220838761694767738e-01,9.687910079956054688e-01
1.220000000000000000e+02,1.104038815441869270e-01,9.737570881843566895e-01,1.024935877444956567e-01,9.756926894187927246e-01
1.230000000000000000e+02,1.103175418936964414e-01,9.740011692047119141e-01,1.064553319306948409e-01,9.778136610984802246e-01
1.240000000000000000e+02,1.091447618606540826e-01,9.744472503662109375e-01,1.065490488475293596e-01,9.749183654785156250e-01
1.250000000000000000e+02,1.091216517774580563e-01,9.741190075874328613e-01,9.766245818443038129e-02,9.783523678779602051e-01
1.260000000000000000e+02,1.080015730563821663e-01,9.746829271316528320e-01,1.070152162749032909e-01,9.742113351821899414e-01
1.270000000000000000e+02,1.076161953757889256e-01,9.747165441513061523e-01,1.253830460366912036e-01,9.665690064430236816e-01
1.280000000000000000e+02,1.073783644353098338e-01,9.746408462524414062e-01,9.914736742099143629e-02,9.777463674545288086e-01
1.290000000000000000e+02,1.060852440123923740e-01,9.752804636955261230e-01,1.087008464330325025e-01,9.754570126533508301e-01
1.300000000000000000e+02,1.068908749007861092e-01,9.748764634132385254e-01,1.078349943238749858e-01,9.752886891365051270e-01
1.310000000000000000e+02,1.071676419963520643e-01,9.748091697692871094e-01,1.012824126843624994e-01,9.756253361701965332e-01
1.320000000000000000e+02,1.159371973578011833e-01,9.728817343711853027e-01,1.044526363402254882e-01,9.773086905479431152e-01
1.330000000000000000e+02,1.087100744366519961e-01,9.748428463935852051e-01,1.131930663973891721e-01,9.709457159042358398e-01
1.340000000000000000e+02,1.074530599870543168e-01,9.747165441513061523e-01,1.043957090675951271e-01,9.753560423851013184e-01
1.350000000000000000e+02,1.074339602739776411e-01,9.748512506484985352e-01,9.835550096077254334e-02,9.769720435142517090e-01
1.360000000000000000e+02,1.068791974837168951e-01,9.749017357826232910e-01,1.193677049853988509e-01,9.723597168922424316e-01
1.370000000000000000e+02,1.072975316785461097e-01,9.750784635543823242e-01,9.943039138204312621e-02,9.773086905479431152e-01
1.380000000000000000e+02,1.088802014550661196e-01,9.739086031913757324e-01,1.236036297893211566e-01,9.680840373039245605e-01
1.390000000000000000e+02,1.058837239762074889e-01,9.748933315277099609e-01,1.073092927914388039e-01,9.746490120887756348e-01
1.400000000000000000e+02,1.052474697704044865e-01,9.752383828163146973e-01,9.520782229555450893e-02,9.791266918182373047e-01
1.410000000000000000e+02,1.060216986475051304e-01,9.750195741653442383e-01,1.220657594887757935e-01,9.688246846199035645e-01
1.420000000000000000e+02,1.063306709612289735e-01,9.751121401786804199e-01,1.356949139098831969e-01,9.631350636482238770e-01
1.430000000000000000e+02,1.089924880117535411e-01,9.745145440101623535e-01,1.062403104591561481e-01,9.726290106773376465e-01
1.440000000000000000e+02,1.050591561323576256e-01,9.755161404609680176e-01,1.072690567193025496e-01,9.738073348999023438e-01
1.450000000000000000e+02,1.052282319207742678e-01,9.752889275550842285e-01,1.047661852459527143e-01,9.736726880073547363e-01
1.460000000000000000e+02,1.055356746079083724e-01,9.752215743064880371e-01,1.058384969921942753e-01,9.763997197151184082e-01
1.470000000000000000e+02,1.032983626878008765e-01,9.762736558914184570e-01,1.043732660908701093e-01,9.741440415382385254e-01
1.480000000000000000e+02,1.029307856972314916e-01,9.755834937095642090e-01,9.890863313742712104e-02,9.767026901245117188e-01
1.490000000000000000e+02,1.033260094541229024e-01,9.757434129714965820e-01,9.711851651246622419e-02,9.776790142059326172e-01
1.500000000000000000e+02,1.033907228338939444e-01,9.751963019371032715e-01,9.773423793475680132e-02,9.786216616630554199e-01
1.510000000000000000e+02,1.035005040778760044e-01,9.753730893135070801e-01,9.958788874744314845e-02,9.758946895599365234e-01
1.520000000000000000e+02,1.035951241256627547e-01,9.757265448570251465e-01,1.132827006499652900e-01,9.701040387153625488e-01
1.530000000000000000e+02,1.034787118905344944e-01,9.758443832397460938e-01,9.607558799226231794e-02,9.773423671722412109e-01
1.540000000000000000e+02,1.043039902805279751e-01,9.756592512130737305e-01,9.560620449818260647e-02,9.787226915359497070e-01
1.550000000000000000e+02,1.022988842078657590e-01,9.758527874946594238e-01,1.023982314269575727e-01,9.753223657608032227e-01
1.560000000000000000e+02,1.049763999562870614e-01,9.753898978233337402e-01,9.604397907063494388e-02,9.779820442199707031e-01
1.570000000000000000e+02,1.018656047879540893e-01,9.760127067565917969e-01,9.721674257314034950e-02,9.771403670310974121e-01
1.580000000000000000e+02,1.023347085949471852e-01,9.761389493942260742e-01,1.007829385347152884e-01,9.755580425262451172e-01
1.590000000000000000e+02,1.012862085797925499e-01,9.765261411666870117e-01,9.901063569047870161e-02,9.752886891365051270e-01
1.600000000000000000e+02,1.019696629901332557e-01,9.755077362060546875e-01,1.128514579106945637e-01,9.733697175979614258e-01
1.610000000000000000e+02,1.005961322642915934e-01,9.765682220458984375e-01,1.092130345835229804e-01,9.722923636436462402e-01
1.620000000000000000e+02,1.010620090962946194e-01,9.765345454216003418e-01,9.896066558723812245e-02,9.768710136413574219e-01
1.630000000000000000e+02,1.017759371793046513e-01,9.760547876358032227e-01,1.082664088521680668e-01,9.742450118064880371e-01
