# epochs,loss,accuracy,val_loss,val_accuracy
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,8.388495970432415794e-01,7.974666357040405273e-01,5.892053378257222640e-01,8.445274829864501953e-01
2.000000000000000000e+00,6.277706099595453670e-01,8.191431760787963867e-01,5.028984628855305283e-01,8.637511134147644043e-01
3.000000000000000000e+00,5.657806539713785554e-01,8.519701957702636719e-01,4.577989503839090535e-01,9.017944335937500000e-01
4.000000000000000000e+00,5.233584862568944063e-01,8.711246848106384277e-01,4.256785939936805763e-01,9.052957892417907715e-01
5.000000000000000000e+00,4.907306298601101791e-01,8.767039775848388672e-01,4.296866957075294313e-01,9.098744392395019531e-01
6.000000000000000000e+00,4.627500164891931167e-01,8.817967176437377930e-01,3.769455289084578387e-01,9.199070930480957031e-01
7.000000000000000000e+00,4.399688396337232410e-01,8.846593499183654785e-01,3.884422312187224557e-01,9.196714162826538086e-01
8.000000000000000000e+00,4.195872626579813525e-01,8.875057697296142578e-01,3.561698925943441729e-01,9.222974181175231934e-01
9.000000000000000000e+00,4.020136017972101294e-01,8.899791836738586426e-01,3.423033693589430104e-01,9.169780611991882324e-01
1.000000000000000000e+01,3.881337804651062706e-01,8.918929696083068848e-01,3.298991624182757154e-01,9.271454215049743652e-01
1.100000000000000000e+01,3.755921557717617487e-01,8.933526873588562012e-01,3.001110618095929605e-01,9.321954250335693359e-01
1.200000000000000000e+01,3.638829606257221738e-01,8.945528864860534668e-01,4.033219379110175584e-01,9.137460589408874512e-01
1.300000000000000000e+01,3.527816647980117071e-01,9.003511667251586914e-01,3.034880364763533067e-01,9.252263903617858887e-01
1.400000000000000000e+01,3.425615333603680424e-01,9.061493873596191406e-01,2.855250200041174469e-01,9.259670972824096680e-01
1.500000000000000000e+01,3.330069739372837345e-01,9.078280329704284668e-01,3.030647020600755193e-01,9.277850985527038574e-01
1.600000000000000000e+01,3.240453404402236504e-01,9.099608063697814941e-01,2.635646680707912082e-01,9.325657486915588379e-01
1.700000000000000000e+01,3.150695039141747089e-01,9.122071266174316406e-01,3.157221396882514131e-01,9.173147678375244141e-01
1.800000000000000000e+01,3.088558116107404383e-01,9.128397107124328613e-01,2.741355993701717897e-01,9.246540665626525879e-01
1.900000000000000000e+01,3.013348434729662406e-01,9.133992195129394531e-01,2.665716275064582974e-01,9.256977438926696777e-01
2.000000000000000000e+01,2.962024455091260555e-01,9.143561720848083496e-01,2.551250510238555202e-01,9.269097447395324707e-01
2.100000000000000000e+01,2.898161022478598636e-01,9.152644276618957520e-01,2.443895471393831287e-01,9.275494217872619629e-01
2.200000000000000000e+01,2.841285611920366660e-01,9.166754484176635742e-01,2.849433663944658246e-01,9.149580597877502441e-01
2.300000000000000000e+01,2.799859407251146792e-01,9.170728325843811035e-01,2.248759315496935418e-01,9.390633702278137207e-01
2.400000000000000000e+01,2.749341969274574082e-01,9.186460375785827637e-01,2.654960412613989185e-01,9.206477403640747070e-01
2.500000000000000000e+01,2.701445601781280459e-01,9.206004142761230469e-01,2.415194416657781007e-01,9.281554222106933594e-01
2.600000000000000000e+01,2.660853894319855639e-01,9.221249818801879883e-01,2.374941808055339165e-01,9.281890988349914551e-01
2.700000000000000000e+01,2.617587360173619926e-01,9.221655726432800293e-01,2.176467946806776854e-01,9.411170482635498047e-01
2.800000000000000000e+01,2.573563496574514109e-01,9.240469336509704590e-01,2.088825003567341687e-01,9.454264044761657715e-01
2.900000000000000000e+01,2.544581709563769611e-01,9.251579046249389648e-01,2.526867521362818891e-01,9.218597412109375000e-01
3.000000000000000000e+01,2.504935285985775972e-01,9.280368089675903320e-01,2.924551892197501668e-01,8.996397852897644043e-01
3.100000000000000000e+01,2.465128840107388974e-01,9.296100139617919922e-01,2.221471006984129248e-01,9.369087219238281250e-01
3.200000000000000000e+01,2.426924720518551237e-01,9.317265748977661133e-01,2.249414568678343718e-01,9.370770454406738281e-01
3.300000000000000000e+01,2.381027116798172527e-01,9.343377947807312012e-01,2.607904194042714452e-01,9.263710975646972656e-01
3.400000000000000000e+01,2.364011969021491411e-01,9.344027042388916016e-01,2.069159672820591878e-01,9.491633772850036621e-01
3.500000000000000000e+01,2.327949167452902646e-01,9.356515407562255859e-01,2.014677161702330133e-01,9.475136995315551758e-01
3.600000000000000000e+01,2.290954255772701398e-01,9.367868900299072266e-01,1.929882322715391618e-01,9.489950537681579590e-01
3.700000000000000000e+01,2.261330805211430595e-01,9.374032020568847656e-01,2.211250468674173242e-01,9.355957508087158203e-01
3.800000000000000000e+01,2.241603435070693151e-01,9.380276203155517578e-01,2.267648821818733507e-01,9.348887205123901367e-01
3.900000000000000000e+01,2.217450707311145464e-01,9.383438825607299805e-01,1.818179291551756671e-01,9.552907347679138184e-01
4.000000000000000000e+01,2.200936617544555496e-01,9.391385912895202637e-01,2.271140906782305735e-01,9.328687191009521484e-01
4.100000000000000000e+01,2.174536780853466578e-01,9.398198127746582031e-01,1.741439917087213851e-01,9.544490575790405273e-01
4.200000000000000000e+01,2.148303179594331369e-01,9.408902525901794434e-01,1.996443423357603109e-01,9.448204040527343750e-01
4.300000000000000000e+01,2.124982915734888733e-01,9.418634176254272461e-01,1.910721989123342901e-01,9.521260261535644531e-01
4.400000000000000000e+01,2.098119233854620624e-01,9.424797296524047852e-01,2.602739858082704361e-01,9.191327691078186035e-01
4.500000000000000000e+01,2.088449109292595529e-01,9.422202110290527344e-01,1.711928334070954572e-01,9.590950608253479004e-01
4.600000000000000000e+01,2.061926397056299265e-01,9.429257512092590332e-01,1.653164476156234741e-01,9.597346782684326172e-01
4.700000000000000000e+01,2.041065320439647834e-01,9.437853097915649414e-01,1.662762625561765295e-01,9.602060317993164062e-01
4.800000000000000000e+01,2.019189952692045098e-01,9.442394375801086426e-01,1.871688374008180500e-01,9.504764080047607422e-01
4.900000000000000000e+01,2.007597905005603089e-01,9.448720216751098633e-01,2.304423379842586439e-01,9.305457472801208496e-01
5.000000000000000000e+01,1.983712960604098186e-01,9.456261992454528809e-01,1.659263960405844562e-01,9.628993868827819824e-01
5.100000000000000000e+01,1.962053238225724971e-01,9.469317793846130371e-01,1.945926327064828598e-01,9.484227299690246582e-01
5.200000000000000000e+01,1.940721635314316962e-01,9.472561478614807129e-01,1.653920411882996711e-01,9.635053873062133789e-01
5.300000000000000000e+01,1.932877940301850062e-01,9.471831917762756348e-01,1.777882855833911313e-01,9.508130550384521484e-01
5.400000000000000000e+01,1.914932845359766378e-01,9.479616880416870117e-01,1.646377802049656669e-01,9.589940309524536133e-01
5.500000000000000000e+01,1.898217449599292062e-01,9.482536315917968750e-01,1.984950740556181148e-01,9.454600811004638672e-01
5.600000000000000000e+01,1.878746354751905101e-01,9.496565461158752441e-01,1.555750157567574454e-01,9.617546796798706055e-01
5.700000000000000000e+01,1.862835496692807069e-01,9.496971368789672852e-01,1.594366099232295275e-01,9.615190625190734863e-01
5.800000000000000000e+01,1.844092296315452961e-01,9.500863552093505859e-01,1.731679665171625970e-01,9.550213813781738281e-01
5.900000000000000000e+01,1.831697443169950368e-01,9.508973360061645508e-01,1.926866706053231293e-01,9.415547251701354980e-01
6.000000000000000000e+01,1.815883622544882114e-01,9.512054920196533203e-01,1.552025109734679054e-01,9.655926823616027832e-01
6.100000000000000000e+01,1.814670590675132589e-01,9.516839385032653809e-01,1.853652538355001211e-01,9.487930536270141602e-01
6.200000000000000000e+01,1.791051309748055986e-01,9.525678753852844238e-01,1.672901696703074648e-01,9.568057060241699219e-01
6.300000000000000000e+01,1.779951411564991426e-01,9.519515633583068848e-01,1.667409955068609451e-01,9.591286778450012207e-01
6.400000000000000000e+01,1.767263152582262409e-01,9.529003500938415527e-01,1.770786940088273087e-01,9.486584067344665527e-01
6.500000000000000000e+01,1.769676113089171665e-01,9.524948596954345703e-01,1.728309163326378906e-01,9.498367309570312500e-01
6.600000000000000000e+01,1.744149814233724449e-01,9.532247185707092285e-01,1.479631486732179146e-01,9.636737108230590820e-01
6.700000000000000000e+01,1.734078735073629196e-01,9.531760811805725098e-01,1.554515230061891407e-01,9.599366784095764160e-01
6.800000000000000000e+01,1.720969406378623223e-01,9.536302089691162109e-01,1.644230545795201115e-01,9.575127363204956055e-01
6.900000000000000000e+01,1.697439108110582739e-01,9.550979733467102051e-01,1.525732707570238433e-01,9.654580354690551758e-01
7.000000000000000000e+01,1.700917949940467244e-01,9.546520113945007324e-01,2.039331333859799311e-01,9.486920237541198730e-01
7.100000000000000000e+01,1.696694207297758383e-01,9.544411301612854004e-01,1.521552160657688724e-01,9.622597098350524902e-01
7.200000000000000000e+01,1.672705400883138793e-01,9.548952579498291016e-01,1.443495108758753587e-01,9.616537094116210938e-01
7.300000000000000000e+01,1.670944455649412408e-01,9.557954072952270508e-01,1.452528487438074500e-01,9.644480347633361816e-01
7.400000000000000000e+01,1.661799217178101251e-01,9.559413790702819824e-01,2.007789209392746299e-01,9.387940764427185059e-01
7.500000000000000000e+01,1.657674621951999439e-01,9.558116197586059570e-01,1.467745040290942271e-01,9.652223587036132812e-01
7.600000000000000000e+01,1.650688346473943025e-01,9.558846354484558105e-01,1.911177561963820215e-01,9.445173740386962891e-01
7.700000000000000000e+01,1.631955035719570291e-01,9.569145441055297852e-01,1.570427332814544885e-01,9.571087360382080078e-01
7.800000000000000000e+01,1.627478687636578492e-01,9.567360877990722656e-01,1.499521727860425313e-01,9.651213884353637695e-01
7.900000000000000000e+01,1.616294560336254960e-01,9.572064876556396484e-01,1.527160701360394945e-01,9.639430642127990723e-01
8.000000000000000000e+01,1.610169842616049340e-01,9.573767781257629395e-01,1.453511042198267766e-01,9.680503606796264648e-01
8.100000000000000000e+01,1.606605275945803268e-01,9.576362371444702148e-01,1.354105491826390895e-01,9.682860374450683594e-01
8.200000000000000000e+01,1.588930392080821208e-01,9.581958055496215820e-01,1.996285386079520163e-01,9.605763554573059082e-01
8.300000000000000000e+01,1.595203078436208399e-01,9.573280811309814453e-01,1.430605606884602088e-01,9.626637101173400879e-01
8.400000000000000000e+01,1.578539319568850463e-01,9.583498835563659668e-01,1.398035708214232786e-01,9.657946825027465820e-01
8.500000000000000000e+01,1.573684604655765096e-01,9.583985209465026855e-01,1.392196786273522391e-01,9.668720364570617676e-01
8.600000000000000000e+01,1.556652941427642822e-01,9.587715864181518555e-01,1.430345447815833393e-01,9.600040316581726074e-01
8.700000000000000000e+01,1.554600907906691920e-01,9.590392112731933594e-01,1.870018075777236666e-01,9.519577026367187500e-01
8.800000000000000000e+01,1.552261539888057373e-01,9.591283798217773438e-01,1.401193218627843073e-01,9.673097133636474609e-01
8.900000000000000000e+01,1.542188537210192334e-01,9.595419764518737793e-01,1.371963692223432119e-01,9.681513905525207520e-01
9.000000000000000000e+01,1.546953000019452573e-01,9.590473175048828125e-01,1.601398893132611745e-01,9.581860303878784180e-01
9.100000000000000000e+01,1.530934704339216301e-01,9.601015448570251465e-01,1.698055447730192069e-01,9.576473832130432129e-01
9.200000000000000000e+01,1.522279288806605846e-01,9.596230983734130859e-01,2.401493649615088211e-01,9.442144036293029785e-01
9.300000000000000000e+01,1.510858193501382618e-01,9.605151414871215820e-01,1.475938862491343595e-01,9.614517092704772949e-01
9.400000000000000000e+01,1.505908618714884850e-01,9.600609540939331055e-01,1.523381985654490844e-01,9.577820301055908203e-01
9.500000000000000000e+01,1.504904842545015109e-01,9.604502320289611816e-01,1.801717251702775469e-01,9.451233744621276855e-01
9.600000000000000000e+01,1.501092695601050631e-01,9.608719348907470703e-01,1.406060871777430332e-01,9.634717106819152832e-01
9.700000000000000000e+01,1.480547456456275945e-01,9.612368345260620117e-01,1.310146274274938127e-01,9.700030088424682617e-01
9.800000000000000000e+01,1.483065612112607901e-01,9.616504311561584473e-01,1.482487888065158466e-01,9.631350636482238770e-01
9.900000000000000000e+01,1.483746937046821479e-01,9.608962535858154297e-01,1.218772514272708635e-01,9.716863632202148438e-01
1.000000000000000000e+02,1.474188459456490519e-01,9.614152312278747559e-01,1.305458706608626229e-01,9.675117135047912598e-01
